#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

####################
#	Bookmarks
####################
BM_THREE_KINGDOMS;The Three Kingdoms;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_THE_FALL_OF_ARTHEDAIN;The Fall of Arthedain;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_THE_STEWARDS_OF_GONDOR;The Stewards of Gondor;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_THE_BATTLE_OF_THE_FIVE_ARMIES;The Five Armies <WIP>;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_WAR_OF_THE_RING;The War of the Ring;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_KIN_STRIFE;The Kin-Strife;La Guerre Fratricide;;;;;;;;;;;;x
BM_FALL_OF_ARNOR;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
BM_WAINRIDERS_INVASION;The Wainriders Invasion;L'invasion des Wainriders;;;;;;;;;;;;x
BM_NEW_SHADOW;A New Shadow;Une Nouvelle Ombre;;;;;;;;;;;;x
BM_LAST_ALLIANCE;The Last Alliance <WIP>;La Dernière Alliance;;;;;;;;;;;;x
DARK_AGES;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x

#Eras
BM_WAR_OF_THE_RING_ERA;The War of the Ring;La Guerre de l'Anneau;;;;;;;;;;;;x
BM_KIN_STRIFE_ERA;The Kin-Strife;La Guerre Fratricide;;;;;;;;;;;;x
BM_FALL_OF_ARNOR_ERA;The Fall of Arnor;La Chute d'Arnor;;;;;;;;;;;;x
BM_NEW_SHADOW_ERA;A New Shadow;Une Nouvelle Ombre;;;;;;;;;;;;x
BM_LAST_ALLIANCE_ERA;The Last Alliance <WIP>;La Dernière Alliance;;;;;;;;;;;;x

######################
#	Bookmark Desc
######################
BM_THREE_KINGDOMS_DESC;At its height, Arnor borders extended from the Ice-Bay of Forochel in the north, the river Greyflood down to Belegaer in the south, the river Hoarwell in the east, and the river Lune in the west. The capital city was Annúminas, and the realm included other cities such as Fornost, Tharbad, Lond Daer, and Tyrn Gorthad. After the death of its tenth king, Eärendur, in 861, the eldest son, Amlaith, claimed Kingship over all Arnor but was reduced to only ruling the region of Arthedain as his kingdom, while the other sons founded the kingdoms of Cardolan and Rhudaur. Human folly and the plots of a deathless evil had undone the dream, Arnor was shaken by civil war between the three sons of Eärendur, Arnor was no more, divided into the three kingdoms of Arthedain, Cardolan and Rhudaur, the Dúnedain of the North spent their strength in foolish, petty wars and while corruption and ambition sapped their strength, enemies gathered on their frontiers.;;;;;;;;;;;;x
BM_THE_FALL_OF_ARTHEDAIN_DESC;During the reign of Eärendur his sons were in open discord, which erupted into civil war after Eärendur's death in TA 861. Amlaith, the true heir to the throne of Arnor, was opposed by his two brothers. Unable to resolve the situation, he was reduced to ruling the region of Arthedain, which consisted approximately of the lands west of the Brandywine River and north of the Great East Road. (His brothers created the kingdoms of Cardolan and Rhudaur to the south.) The kingdom's capital was at Fornost, and Bree was one of its most important towns. Annúminas was in the territory of Arthedain, but mostly abandoned and falling into ruin. In TA 1300 the kingdom of Angmar appeared at Arthedain's north-eastern border. Its King was the chief of the Ringwraiths, although this was not known to the Dúnedain. When this new threat came Cardolan placed itself under the suzerainty of Arthedain, which then began to call itself Arnor again. ;;;;;;;;;;;;x
BM_THE_STEWARDS_OF_GONDOR_DESC;The Witch-king escaped to Mordor, and set up abode in Minas Ithil, which in consequence was renamed Minas Morgul. After the death of Eärnil and the coronation of Eärnur, the Witch-king challenged him to single combat, reminding him of the disgrace in the North. The Steward, Mardil Voronwë, persuaded him not to go. Seven years later, the Witch-king renewed his challenge, and this time, Eärnur could not be held back. Before leaving, however, Eärnur left his crown on the lap of his father in the Houses of the Dead. There it was picked up again by Faramir, the last Ruling Steward, for the coronation of Elessar almost a millennium later. With a small escort of knights, he rode past the gates of Minas Morgul. None were ever seen again. No new king was elected and the rule of Gondor passed to the Ruling Stewards, beginning with Mardil Voronwë. The Stewards were to rule "until the King returns", because it was uncertain at first whether Eärnur had been killed or not.;;;;;;;;;;;;x
BM_THE_BATTLE_OF_THE_FIVE_ARMIES_DESC;The middle of 28th century of Third Age brought forth the Long Winter, an extremely cold and long-lasting winter in Middle-earth  resulted in the deaths of many thousands of Hobbits in The Shire, covering Eriador, Dunland and Rohan, followed by the Days of Dearth, period of famine in The Shire which lasted into T.A. 2760., and wars of Rohan against Easternlings, Dunlendings and Gondor against Corsairs and Haradrim. After the wars, seeing Rohan's weakness, the Steward, Beren gave the keys to Orthanc to the wizard Saruman. In TA 2770, Smaug, a fire drake of the Third Age, considered to be the last "great" dragon to exist in Middle-earth, came from the mountains in the north, "like a hurricane coming from the North", drawn by great wealth amassed by the Dwarven kingdom of the Lonely Mountain, which included gold, gemstones, silver, pearls, the many-faceted crystals of emerald, sapphire and diamond, and the famed Arkenstone.;;;;;;;;;;;;x
